sepal_length,sepal_width,petal_length,petal_width,iris
sepal length (cm)_3,sepal width (cm)_11,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_1,sepal width (cm)_7,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_0,sepal width (cm)_9,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_0,sepal width (cm)_8,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_2,sepal width (cm)_12,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_6,sepal width (cm)_15,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_0,sepal width (cm)_11,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_2,sepal width (cm)_11,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_0,sepal width (cm)_6,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_1,sepal width (cm)_8,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_6,sepal width (cm)_13,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_0,sepal width (cm)_11,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_0,sepal width (cm)_7,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_0,sepal width (cm)_7,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_10,sepal width (cm)_15,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_9,sepal width (cm)_15,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_6,sepal width (cm)_15,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_3,sepal width (cm)_11,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_9,sepal width (cm)_14,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_3,sepal width (cm)_14,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_6,sepal width (cm)_11,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_3,sepal width (cm)_13,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_0,sepal width (cm)_12,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_3,sepal width (cm)_10,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_0,sepal width (cm)_11,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_2,sepal width (cm)_7,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_2,sepal width (cm)_11,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_4,sepal width (cm)_11,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_4,sepal width (cm)_11,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_0,sepal width (cm)_9,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_0,sepal width (cm)_8,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_6,sepal width (cm)_11,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_4,sepal width (cm)_15,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_7,sepal width (cm)_15,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_1,sepal width (cm)_8,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_2,sepal width (cm)_9,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_7,sepal width (cm)_11,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_1,sepal width (cm)_8,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_0,sepal width (cm)_7,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_3,sepal width (cm)_11,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_2,sepal width (cm)_11,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_0,sepal width (cm)_1,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_0,sepal width (cm)_9,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_2,sepal width (cm)_11,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_3,sepal width (cm)_14,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_0,sepal width (cm)_7,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_3,sepal width (cm)_14,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_0,sepal width (cm)_9,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_5,sepal width (cm)_13,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_2,sepal width (cm)_10,petal length (cm)_0,petal width (cm)_0,0
sepal length (cm)_20,sepal width (cm)_9,petal length (cm)_3,petal width (cm)_2,1
sepal length (cm)_14,sepal width (cm)_9,petal length (cm)_2,petal width (cm)_3,1
sepal length (cm)_19,sepal width (cm)_8,petal length (cm)_5,petal width (cm)_3,1
sepal length (cm)_7,sepal width (cm)_1,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_15,sepal width (cm)_5,petal length (cm)_3,petal width (cm)_3,1
sepal length (cm)_9,sepal width (cm)_5,petal length (cm)_2,petal width (cm)_1,1
sepal length (cm)_13,sepal width (cm)_10,petal length (cm)_3,petal width (cm)_4,1
sepal length (cm)_1,sepal width (cm)_1,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_16,sepal width (cm)_6,petal length (cm)_3,petal width (cm)_1,1
sepal length (cm)_4,sepal width (cm)_4,petal length (cm)_1,petal width (cm)_2,1
sepal length (cm)_2,sepal width (cm)_0,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_11,sepal width (cm)_7,petal length (cm)_1,petal width (cm)_3,1
sepal length (cm)_11,sepal width (cm)_0,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_11,sepal width (cm)_6,petal length (cm)_3,petal width (cm)_2,1
sepal length (cm)_8,sepal width (cm)_6,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_17,sepal width (cm)_8,petal length (cm)_1,petal width (cm)_2,1
sepal length (cm)_8,sepal width (cm)_7,petal length (cm)_2,petal width (cm)_3,1
sepal length (cm)_10,sepal width (cm)_4,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_12,sepal width (cm)_0,petal length (cm)_2,petal width (cm)_3,1
sepal length (cm)_8,sepal width (cm)_2,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_11,sepal width (cm)_9,petal length (cm)_4,petal width (cm)_6,1
sepal length (cm)_11,sepal width (cm)_5,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_13,sepal width (cm)_2,petal length (cm)_5,petal width (cm)_3,1
sepal length (cm)_11,sepal width (cm)_5,petal length (cm)_3,petal width (cm)_1,1
sepal length (cm)_14,sepal width (cm)_6,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_16,sepal width (cm)_7,petal length (cm)_1,petal width (cm)_2,1
sepal length (cm)_18,sepal width (cm)_5,petal length (cm)_4,petal width (cm)_2,1
sepal length (cm)_17,sepal width (cm)_7,petal length (cm)_6,petal width (cm)_5,1
sepal length (cm)_11,sepal width (cm)_6,petal length (cm)_2,petal width (cm)_3,1
sepal length (cm)_9,sepal width (cm)_3,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_7,sepal width (cm)_1,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_7,sepal width (cm)_1,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_10,sepal width (cm)_4,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_11,sepal width (cm)_4,petal length (cm)_7,petal width (cm)_4,1
sepal length (cm)_6,sepal width (cm)_7,petal length (cm)_2,petal width (cm)_3,1
sepal length (cm)_11,sepal width (cm)_11,petal length (cm)_2,petal width (cm)_4,1
sepal length (cm)_17,sepal width (cm)_8,petal length (cm)_3,petal width (cm)_3,1
sepal length (cm)_13,sepal width (cm)_1,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_8,sepal width (cm)_7,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_7,sepal width (cm)_2,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_7,sepal width (cm)_3,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_11,sepal width (cm)_7,petal length (cm)_3,petal width (cm)_2,1
sepal length (cm)_10,sepal width (cm)_3,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_2,sepal width (cm)_1,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_8,sepal width (cm)_4,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_9,sepal width (cm)_7,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_9,sepal width (cm)_6,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_12,sepal width (cm)_6,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_3,sepal width (cm)_2,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_9,sepal width (cm)_5,petal length (cm)_1,petal width (cm)_1,1
sepal length (cm)_13,sepal width (cm)_10,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_10,sepal width (cm)_4,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_21,sepal width (cm)_7,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_13,sepal width (cm)_6,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_15,sepal width (cm)_7,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_21,sepal width (cm)_7,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_1,sepal width (cm)_2,petal length (cm)_2,petal width (cm)_5,2
sepal length (cm)_21,sepal width (cm)_6,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_17,sepal width (cm)_2,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_21,sepal width (cm)_12,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_15,sepal width (cm)_9,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_14,sepal width (cm)_4,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_18,sepal width (cm)_7,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_9,sepal width (cm)_2,petal length (cm)_6,petal width (cm)_6,2
sepal length (cm)_10,sepal width (cm)_5,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_14,sepal width (cm)_9,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_15,sepal width (cm)_7,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_21,sepal width (cm)_14,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_21,sepal width (cm)_3,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_11,sepal width (cm)_0,petal length (cm)_6,petal width (cm)_3,2
sepal length (cm)_19,sepal width (cm)_9,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_8,sepal width (cm)_5,petal length (cm)_5,petal width (cm)_6,2
sepal length (cm)_21,sepal width (cm)_5,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_13,sepal width (cm)_4,petal length (cm)_5,petal width (cm)_6,2
sepal length (cm)_17,sepal width (cm)_10,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_21,sepal width (cm)_9,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_12,sepal width (cm)_5,petal length (cm)_4,petal width (cm)_6,2
sepal length (cm)_11,sepal width (cm)_7,petal length (cm)_5,petal width (cm)_6,2
sepal length (cm)_14,sepal width (cm)_5,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_21,sepal width (cm)_7,petal length (cm)_7,petal width (cm)_4,2
sepal length (cm)_21,sepal width (cm)_5,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_21,sepal width (cm)_14,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_14,sepal width (cm)_5,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_13,sepal width (cm)_5,petal length (cm)_7,petal width (cm)_3,2
sepal length (cm)_11,sepal width (cm)_3,petal length (cm)_7,petal width (cm)_2,2
sepal length (cm)_21,sepal width (cm)_7,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_13,sepal width (cm)_11,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_14,sepal width (cm)_8,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_11,sepal width (cm)_7,petal length (cm)_4,petal width (cm)_6,2
sepal length (cm)_19,sepal width (cm)_8,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_17,sepal width (cm)_8,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_19,sepal width (cm)_8,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_10,sepal width (cm)_4,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_18,sepal width (cm)_9,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_17,sepal width (cm)_10,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_17,sepal width (cm)_7,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_13,sepal width (cm)_2,petal length (cm)_6,petal width (cm)_6,2
sepal length (cm)_15,sepal width (cm)_7,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_12,sepal width (cm)_11,petal length (cm)_7,petal width (cm)_6,2
sepal length (cm)_11,sepal width (cm)_7,petal length (cm)_7,petal width (cm)_6,2
