Age,Embarked,Fare,PassengerId,Pclass,Sex,Survived,Title,Deck,HasFamily,FamilySize,FarePerPerson
22.0,S,7.25,1,3,1,0.0,Mr,?,True,1,7.25
38.0,C,71.2833,2,1,0,1.0,Mrs,C,True,1,71.2833
26.0,S,7.925,3,3,0,1.0,Miss,?,False,0,0.0
35.0,S,53.1,4,1,0,1.0,Mrs,C,True,1,53.1
35.0,S,8.05,5,3,1,0.0,Mr,?,False,0,0.0
26.0,Q,8.4583,6,3,1,0.0,Mr,?,False,0,0.0
54.0,S,51.8625,7,1,1,0.0,Mr,E,False,0,0.0
2.0,S,21.075,8,3,1,0.0,Master,?,True,4,5.26875
27.0,S,11.1333,9,3,0,1.0,Mrs,?,True,2,5.56665
14.0,C,30.0708,10,2,0,1.0,Mrs,?,True,1,30.0708
4.0,S,16.7,11,3,0,1.0,Miss,G,True,2,8.35
58.0,S,26.55,12,1,0,1.0,Miss,C,False,0,0.0
20.0,S,8.05,13,3,1,0.0,Mr,?,False,0,0.0
39.0,S,31.275,14,3,1,0.0,Mr,?,True,6,5.2124999999999995
14.0,S,7.8542,15,3,0,0.0,Miss,?,False,0,0.0
55.0,S,16.0,16,2,0,1.0,Mrs,?,False,0,0.0
2.0,Q,29.125,17,3,1,0.0,Master,?,True,5,5.825
29.0,S,13.0,18,2,1,1.0,Mr,?,False,0,0.0
31.0,S,18.0,19,3,0,0.0,Mrs,?,True,1,18.0
38.0,C,7.225,20,3,0,1.0,Mrs,?,False,0,0.0
35.0,S,26.0,21,2,1,0.0,Mr,?,False,0,0.0
34.0,S,13.0,22,2,1,1.0,Mr,D,False,0,0.0
15.0,Q,8.0292,23,3,0,1.0,Miss,?,False,0,0.0
28.0,S,35.5,24,1,1,1.0,Mr,A,False,0,0.0
8.0,S,21.075,25,3,0,0.0,Miss,?,True,4,5.26875
38.0,S,31.3875,26,3,0,1.0,Mrs,?,True,6,5.23125
26.0,C,7.225,27,3,1,0.0,Mr,?,False,0,0.0
19.0,S,263.0,28,1,1,0.0,Mr,C,True,5,52.6
22.0,Q,7.8792,29,3,0,1.0,Miss,?,False,0,0.0
26.0,S,7.8958,30,3,1,0.0,Mr,?,False,0,0.0
40.0,C,27.7208,31,1,1,0.0,other,?,False,0,0.0
44.5,C,146.5208,32,1,0,1.0,Mrs,B,True,1,146.5208
22.0,Q,7.75,33,3,0,1.0,Miss,?,False,0,0.0
66.0,S,10.5,34,2,1,0.0,Mr,?,False,0,0.0
28.0,C,82.1708,35,1,1,0.0,Mr,?,True,1,82.1708
42.0,S,52.0,36,1,1,0.0,Mr,?,True,1,52.0
26.0,C,7.2292,37,3,1,1.0,Mr,?,False,0,0.0
21.0,S,8.05,38,3,1,0.0,Mr,?,False,0,0.0
18.0,S,18.0,39,3,0,0.0,Miss,?,True,2,9.0
14.0,C,11.2417,40,3,0,1.0,Miss,?,True,1,11.2417
40.0,S,9.475,41,3,0,0.0,Mrs,?,True,1,9.475
27.0,S,21.0,42,2,0,0.0,Mrs,?,True,1,21.0
26.0,C,7.8958,43,3,1,0.0,Mr,?,False,0,0.0
3.0,C,41.5792,44,2,0,1.0,Miss,?,True,3,13.859733333333333
19.0,Q,7.8792,45,3,0,1.0,Miss,?,False,0,0.0
26.0,S,8.05,46,3,1,0.0,Mr,?,False,0,0.0
26.0,Q,15.5,47,3,1,0.0,Mr,?,True,1,15.5
